id,date_listed,community,zone,lat,lon,property_category,property_type,bedrooms,area_sqft,area_m2,view,furnishing,chiller_included,parking_spaces,metro_station,metro_line,metro_distance_min,to_burj_khalifa_km,contract_type,n_cheques,annual_rent_usd,rent_per_sqft_usd,rent_per_m2_usd
R008875,2022-04-03,Meydan,Meydan,25.14333,55.28894,villa,3BR_villa,3,2164,201.0,park,unfurnished,False,3,Max,Red,109,6.17,yearly,2,72900,33,363
R013778,2023-03-28,Dubailand,Dubailand,25.03104,55.32269,apartment,studio,0,582,54.1,city,fully_furnished,False,1,Palm Deira,Green,315,19.11,yearly,6,8800,15,163
R007315,2023-09-14,Deira,Deira,25.26812,55.30412,apartment,1BR,1,662,61.5,park,semi_furnished,False,1,Baniyas Square (G),Green,10,8.43,short_term,4,11900,18,194
R003390,2025-03-18,Mudon,Dubailand,25.05482,55.25721,villa,4BR_villa,4,3871,359.6,pool,fully_furnished,True,2,Jebel Ali,Red,155,15.93,yearly,6,84500,21,235
R006538,2023-02-27,Arabian Ranches 2,Arabian Ranches,25.0695,55.25319,villa,4BR_villa,4,3171,294.6,golf_course,fully_furnished,True,2,First Abu Dhabi Bank,Red,129,14.36,short_term,4,137000,43,465
R011079,2025-10-02,Tilal Al Ghaf,Tilal Al Ghaf,25.00768,55.24289,villa,3BR_villa,3,2968,275.7,park,semi_furnished,True,4,Mashreq Bank,Red,155,21.31,short_term,2,109700,37,398
R010367,2022-09-13,Bluewaters Island,Dubai Marina,25.07121,55.11938,apartment,3BR,3,2315,215.1,city,unfurnished,False,1,Danube,Red,84,20.97,yearly,1,113300,48,527
R022209,2021-02-23,Dubai Festival City,Festival City,25.22222,55.36216,apartment,2BR,2,1585,147.2,community,unfurnished,False,2,Oud Metha,Green,49,9.26,yearly,2,23700,14,161
R001972,2021-03-04,Falcon City of Wonders,Dubailand,25.03589,55.30553,villa,4BR_villa,4,4091,380.1,sea,unfurnished,True,3,Stadium,Red,353,18.21,short_term,2,68900,16,181
R011140,2023-03-15,Remraam,Dubailand,25.01572,55.25659,apartment,2BR,2,1398,129.9,community,semi_furnished,True,2,Expo 2020,Red,143,20.26,yearly,4,19600,14,151
R006395,2026-01-02,Majan,Dubailand,25.075,55.27545,apartment,studio,0,464,43.1,community,unfurnished,True,2,Oud Metha,Green,225,13.59,short_term,2,7400,15,171
R007566,2025-07-24,The Springs,Emirates Living,25.04607,55.18036,villa,3BR_villa,3,2713,252.0,burj_khalifa,unfurnished,True,3,MRT-1,Red,60,19.29,yearly,2,140800,51,559
R001219,2022-07-19,Al Qusais,Al Qusais,25.27475,55.3642,apartment,3BR,3,2191,203.6,city,semi_furnished,True,1,Al Nahda,Red,15,12.49,yearly,1,22400,10,110
R009817,2025-01-03,Majan,Dubailand,25.07401,55.27595,apartment,studio,0,450,41.8,sea,fully_furnished,True,1,BurJuman,Red,248,13.7,yearly,1,12100,26,289
R004442,2023-03-22,Dubai Festival City,Festival City,25.23114,55.36438,apartment,3BR,3,1521,141.3,park,fully_furnished,True,1,Al Jadaf,Green,27,9.81,yearly,4,49700,32,352
R014487,2021-05-08,Azizi Riviera,MBR City,25.17819,55.29152,apartment,2BR,2,1776,165.0,burj_khalifa,semi_furnished,True,1,Burj Khalifa/Dubai Mall,Red,46,2.73,yearly,4,46700,26,283
R017353,2025-10-18,Dubai Islands,Deira Islands,25.28288,55.32013,villa,6BR_villa,6,8635,802.2,city,fully_furnished,True,2,Oud Metha,Green,71,10.58,yearly,2,434000,50,541
R002259,2026-01-26,Al Barsha,Al Barsha,25.10542,55.2121,apartment,1BR,1,868,80.6,city,semi_furnished,False,1,Noor Bank,Red,27,11.98,short_term,12,20500,23,254
R023663,2021-12-02,Palm Jumeirah,Palm Jumeirah,25.1109,55.13478,apartment,3BR,3,2514,233.5,community,fully_furnished,True,1,Mashreq Bank,Red,45,17.02,yearly,1,159000,63,681
R004956,2023-08-08,Majan,Dubailand,25.07215,55.29355,apartment,2BR,2,1108,103.0,community,unfurnished,False,1,Mashreq Bank,Red,140,14.04,yearly,1,13500,12,132
R014683,2022-01-25,DAMAC Lagoons,Damac,25.04259,55.27146,villa,3BR_villa,3,2586,240.3,pool,unfurnished,True,2,Stadium (G),Green,352,17.19,yearly,2,57200,22,238
R017180,2022-11-14,Dubai Hills Estate,Mohammed Bin Rashid,25.11235,55.23994,villa,3BR_villa,3,3234,300.5,city,unfurnished,False,3,Noor Bank,Red,39,10.05,yearly,1,115400,35,384
R013640,2022-06-10,Remraam,Dubailand,25.00958,55.26473,apartment,2BR,2,1240,115.2,city,semi_furnished,True,1,Mall of the Emirates,Red,167,20.89,yearly,1,18500,14,161
R001003,2024-06-07,Dubai Marina,Dubai Marina,25.08311,55.15267,apartment,4BR_penthouse,4,2719,252.6,community,fully_furnished,False,2,First Abu Dhabi Bank,Red,134,17.64,yearly,2,115400,42,457
R002901,2024-07-12,Majan,Dubailand,25.05788,55.28089,apartment,3BR,3,1933,179.6,community,unfurnished,False,1,Mashreq Bank,Red,144,15.51,yearly,4,30200,15,168
R019069,2021-08-15,The Valley,Dubai-Al Ain Road,24.97625,55.47261,villa,5BR_villa,5,5087,472.6,marina,unfurnished,True,3,Palm Deira,Green,463,31.65,yearly,1,75300,14,159
R010156,2022-08-23,The Meadows,Emirates Living,25.06223,55.16412,villa,6BR_villa,6,5901,548.2,golf_course,fully_furnished,False,2,UAE Pavilion,Red,64,18.67,yearly,6,296900,50,542
R003605,2025-06-15,Al Furjan,Al Furjan,25.02016,55.15208,apartment,2BR,2,981,91.2,sea,unfurnished,True,1,Al Furjan,Red,0,23.22,yearly,4,33300,33,365
R017756,2022-03-23,Pearl Jumeira,Jumeirah,25.22658,55.24062,apartment,studio,0,369,34.2,burj_khalifa,unfurnished,True,1,Al Jadaf,Green,111,4.71,yearly,1,23900,64,697
R009332,2024-08-12,Jumeirah Islands,Emirates Living,25.06212,55.18983,villa,5BR_villa,5,4236,393.5,community,fully_furnished,True,2,Discovery Gardens,Red,30,17.27,yearly,2,229600,54,584
R008790,2024-06-12,The Lakes,Emirates Living,25.05855,55.18658,villa,4BR_villa,4,3299,306.5,burj_khalifa,fully_furnished,False,3,Mashreq Bank,Red,61,17.77,yearly,1,171600,52,560
R018939,2023-10-03,World Islands,World Islands,25.21375,55.16232,apartment,studio,0,430,40.0,park,unfurnished,True,1,Al Furjan,Red,262,11.42,yearly,4,30800,71,770
R023859,2021-11-12,Al Qusais,Al Qusais,25.28453,55.3878,apartment,studio,0,439,40.8,community,semi_furnished,True,1,Al Nahda (G),Green,12,14.98,yearly,2,4900,11,119
R006745,2024-09-21,Jumeirah Village Triangle,JVT,25.06824,55.18568,apartment,3BR,3,1633,151.7,burj_khalifa,fully_furnished,True,3,Mashreq Bank,Red,59,16.89,yearly,1,39300,24,259
R017086,2021-10-29,Jumeirah Park,Emirates Living,25.05594,55.18292,villa,4BR_villa,4,3313,307.8,pool,fully_furnished,True,3,MRT-1,Red,51,18.21,yearly,2,107900,32,351
R012965,2025-11-23,Bulgari Resort,Jumeirah Bay,25.20453,55.24764,apartment,4BR_penthouse,4,2635,244.8,community,unfurnished,True,1,Al Jafiliya,Red,60,2.81,yearly,4,309000,117,1262
R000837,2022-03-09,DAMAC Lagoons,Damac,25.04612,55.24505,villa,3BR_villa,3,2218,206.1,community,unfurnished,False,4,Dubai Investment Park,Red,139,17.06,yearly,4,33500,15,162
R010773,2025-07-30,La Mer,Jumeirah,25.22301,55.25297,apartment,studio,0,394,36.6,pool,unfurnished,True,1,Emirates Towers,Red,28,3.59,yearly,2,29100,73,795
R009383,2021-02-21,Meydan,Meydan,25.15005,55.30882,villa,5BR_villa,5,4279,397.6,city,fully_furnished,True,3,World Trade Centre,Red,97,6.28,yearly,12,96800,22,243
R000164,2021-04-03,Al Barsha,Al Barsha,25.10962,55.18655,villa,4BR_villa,4,4064,377.5,city,semi_furnished,True,3,Mall of the Emirates,Red,15,13.15,yearly,2,75400,18,200
R013396,2021-05-20,Mira,Reem,25.03948,55.29278,villa,6BR_villa,6,7767,721.6,marina,fully_furnished,True,2,Al Nahda (G),Green,364,17.63,short_term,4,154300,19,214
R019910,2026-02-28,Mirdif,Mirdif,25.22221,55.44083,villa,5BR_villa,5,6290,584.3,marina,fully_furnished,True,2,Emirates Towers,Red,168,16.97,yearly,2,209100,33,358
R008997,2021-07-01,Pearl Jumeira,Jumeirah,25.24007,55.25609,apartment,2BR,2,1323,122.9,community,fully_furnished,False,1,Salah Al Din,Red,124,5.11,yearly,12,48900,37,398
R013078,2021-11-16,Green Community,DIP,25.01791,55.18555,villa,3BR_villa,3,2473,229.8,community,fully_furnished,False,4,Emirates Towers,Red,314,21.85,short_term,1,35100,14,153
R019784,2025-10-12,Bur Dubai,Bur Dubai,25.26083,55.30019,apartment,1BR,1,801,74.4,park,fully_furnished,False,1,Union,Red,26,7.54,yearly,2,19300,24,259
R012705,2022-11-24,Jumeirah Golf Estates,JGE,25.01622,55.1788,villa,5BR_villa,5,6389,593.6,burj_khalifa,unfurnished,False,3,Discovery Gardens,Red,69,22.31,yearly,1,303100,47,511
R005185,2024-11-20,International City,International City,25.17623,55.40903,apartment,2BR,2,1214,112.8,city,fully_furnished,True,1,Max,Red,172,13.75,short_term,4,13400,11,118
R005352,2023-12-12,Jumeirah Village Triangle,JVT,25.06381,55.1849,apartment,1BR,1,654,60.7,burj_khalifa,fully_furnished,True,1,Discovery Gardens,Red,52,17.35,yearly,2,16200,24,266
R020542,2025-08-13,Tilal Al Ghaf,Tilal Al Ghaf,25.01017,55.26957,villa,3BR_villa,3,2527,234.8,burj_khalifa,unfurnished,True,3,Danube,Red,170,20.8,yearly,2,87000,34,371
R022809,2023-02-12,Maritime City,Maritime City,25.26028,55.25087,apartment,studio,0,418,38.8,community,fully_furnished,False,1,Baniyas Square (G),Green,62,7.4,yearly,2,11700,28,302
R024015,2022-01-11,Emirates Hills,Emirates Hills,25.04216,55.15222,villa,4BR_villa,4,3252,302.1,burj_khalifa,fully_furnished,True,3,Jumeirah Golf Estates,Red,32,21.18,yearly,2,238800,73,790
R006489,2023-11-12,Liwan,Dubailand,25.07625,55.31449,apartment,studio,0,602,55.9,city,unfurnished,False,2,Centrepoint,Red,277,14.04,yearly,4,9500,15,169
R014870,2024-01-12,Jumeirah Village Circle,JVC,25.06568,55.21651,apartment,1BR,1,767,71.2,burj_khalifa,fully_furnished,True,1,Dubai Investment Park,Red,100,15.74,yearly,6,19000,24,266
R012708,2025-10-18,International City,International City,25.17256,55.40765,apartment,2BR,2,1494,138.8,marina,fully_furnished,True,1,Palm Deira,Green,193,13.69,yearly,4,19400,13,140
R007151,2024-06-26,Jumeirah Village Triangle,JVT,25.05334,55.20487,apartment,studio,0,469,43.6,burj_khalifa,unfurnished,False,2,Al Ras,Green,311,17.46,yearly,2,12900,27,296
R024570,2025-09-06,Tilal Al Ghaf,Tilal Al Ghaf,25.01405,55.25995,villa,3BR_villa,3,3383,314.3,pool,fully_furnished,False,3,Al Qiyadah (G),Green,378,20.42,short_term,1,168500,49,536
R011064,2024-12-05,Tilal Al Ghaf,Tilal Al Ghaf,25.00448,55.26537,villa,3BR_villa,3,1902,176.7,pool,unfurnished,True,4,Dubai Internet City,Red,153,21.45,yearly,1,66600,35,377
R012342,2022-06-18,Dubai Islands,Deira Islands,25.28413,55.30826,villa,6BR_villa,6,7004,650.7,golf_course,semi_furnished,False,3,Salah Al Din,Red,20,10.25,yearly,6,288300,41,443
R023049,2023-05-15,Sobha Hartland,MBR City,25.18688,55.33332,villa,4BR_villa,4,3072,285.4,park,semi_furnished,True,3,Burj Khalifa/Dubai Mall,Red,38,6.04,yearly,1,131000,42,459
R020844,2025-03-01,Dubailand,Dubailand,25.0374,55.31341,apartment,2BR,2,987,91.7,community,fully_furnished,True,1,Dubai Investment Park,Red,174,18.2,yearly,1,13700,13,149
R007460,2022-10-22,International City,International City,25.15119,55.41331,apartment,1BR,1,801,74.4,sea,unfurnished,True,1,Jumeirah Golf Estates,Red,350,14.89,yearly,2,9800,12,132
R003040,2023-07-04,Jumeirah Islands,Emirates Living,25.04956,55.1725,villa,4BR_villa,4,3909,363.1,marina,fully_furnished,True,2,Ibn Battuta,Red,58,19.36,yearly,1,209100,53,576
R006217,2023-07-17,Jebel Ali,Jebel Ali,25.00839,55.08664,apartment,3BR,3,2129,197.8,burj_khalifa,fully_furnished,True,1,Danube,Red,35,28.25,yearly,1,41700,19,211
R000562,2022-09-10,Pearl Jumeira,Jumeirah,25.21121,55.2391,apartment,3BR,3,1463,135.9,pool,unfurnished,True,2,Business Bay,Red,50,3.88,short_term,6,85200,58,627
R022529,2023-06-26,Jumeirah Golf Estates,JGE,25.01851,55.19669,villa,5BR_villa,5,6756,627.6,community,unfurnished,False,2,Jumeirah Golf Estates,Red,25,21.35,yearly,4,218800,32,349
R019908,2021-04-30,Karama,Bur Dubai,25.24038,55.30929,apartment,1BR,1,773,71.8,park,fully_furnished,False,2,Union (G),Green,33,5.95,short_term,6,9500,12,132
R006386,2022-08-15,Maritime City,Maritime City,25.27717,55.23933,apartment,3BR,3,1864,173.1,park,unfurnished,False,1,BurJuman (G),Green,59,9.57,yearly,4,53700,28,310
R016386,2024-04-01,Dubai South,Dubai South,24.91684,55.17488,apartment,4BR_penthouse,4,3485,323.8,community,semi_furnished,True,2,Expo 2020,Red,64,32.75,yearly,2,42700,12,132
R000909,2021-07-12,International City,International City,25.17972,55.41211,apartment,4BR_penthouse,4,2670,248.0,community,fully_furnished,False,1,Salah Al Din,Red,187,13.99,yearly,1,21800,8,88
R022808,2021-04-18,Downtown Dubai,Downtown,25.20093,55.26543,apartment,1BR,1,1094,101.6,golf_course,unfurnished,True,1,Al Jafiliya,Red,52,0.99,yearly,4,43500,39,428
R005215,2023-06-23,Dubai Silicon Oasis,Dubai Silicon Oasis,25.10819,55.37255,apartment,2BR,2,1175,109.2,city,fully_furnished,False,1,Jumeirah Golf Estates,Red,293,13.98,yearly,6,17400,14,159
R024400,2023-02-04,Damac Hills,Damac Hills,25.02584,55.27785,apartment,2BR,2,1185,110.1,burj_khalifa,fully_furnished,True,1,Jumeirah Golf Estates,Red,117,19.06,yearly,1,32800,27,298
R017667,2026-02-24,DIFC,DIFC,25.21012,55.25839,apartment,1BR,1,936,86.9,golf_course,semi_furnished,True,2,Emirates Towers,Red,14,2.16,yearly,2,73800,78,849
R024089,2025-09-27,Remraam,Dubailand,24.99658,55.268,apartment,1BR,1,962,89.4,sea,unfurnished,False,1,Dubai Investment Park,Red,102,22.32,yearly,1,17400,18,195
R018834,2026-01-13,Al Qusais,Al Qusais,25.27007,55.37258,apartment,3BR,3,2366,219.8,park,fully_furnished,False,2,Al Qusais,Green,2,12.77,yearly,12,43000,18,196
R006524,2025-01-19,Azizi Riviera,MBR City,25.16144,55.3174,apartment,1BR,1,837,77.8,marina,fully_furnished,False,1,Burj Khalifa/Dubai Mall,Red,48,5.88,yearly,2,35900,42,462
R001374,2023-08-12,Mudon,Dubailand,25.05268,55.22612,villa,4BR_villa,4,3148,292.4,park,fully_furnished,True,4,First Abu Dhabi Bank,Red,121,16.79,yearly,6,91600,29,313
R007465,2021-09-03,Dubai Investment Park,DIP,24.99367,55.19138,apartment,1BR,1,626,58.1,sea,fully_furnished,False,1,Dubai Investment Park,Red,18,24.13,yearly,6,6600,10,113
